id,url,views,impressions,clicks,ctr,position
6442867,https://www.kommersant.ru/gallery/6442867,13567,105,8,7.6,15.6
6443032,https://www.kommersant.ru/gallery/6443032,2347,19,1,5.3,48.4
6442893,https://www.kommersant.ru/doc/6442893,323,147,16,10.9,21.3
6443042,https://www.kommersant.ru/doc/6443042,314,8509,173,2.0,9.6
6440771,https://www.kommersant.ru/doc/6440771,311,184,2,1.1,45.0
6443034,https://www.kommersant.ru/doc/6443034,305,1338,118,8.8,10.7
6442928,https://www.kommersant.ru/doc/6442928,293,2280,84,3.7,8.6
6443029,https://www.kommersant.ru/doc/6443029,222,3084,191,6.2,10.5
6442939,https://www.kommersant.ru/doc/6442939,206,163,4,2.5,44.6
6428318,https://www.kommersant.ru/doc/6428318,179,7,1,14.3,61.3
6442830,https://www.kommersant.ru/doc/6442830,141,83,9,10.8,7.6
6442990,https://www.kommersant.ru/amp/6442990,135,2430,228,9.4,8.2
6442682,https://www.kommersant.ru/doc/6442682,107,2717,105,3.9,4.5
6443011,https://www.kommersant.ru/amp/6443011,98,7089,179,2.5,10.1
6442995,https://www.kommersant.ru/amp/6442995,85,415,73,17.6,8.9
6395552,https://www.kommersant.ru/doc/6395552,74,12,2,16.7,39.7
6442930,https://www.kommersant.ru/amp/6442930,68,417,68,16.3,6.5
6443067,https://www.kommersant.ru/amp/6443067,66,449,48,10.7,6.8
6442647,https://www.kommersant.ru/doc/6442647,64,1,1,100.0,4.0
6442907,https://www.kommersant.ru/doc/6442907,61,1,1,100.0,1.0
6443010,https://www.kommersant.ru/amp/6443010,58,1373,63,4.6,8.9
6442973,https://www.kommersant.ru/doc/6442973,55,2759,64,2.3,9.6
6442980,https://www.kommersant.ru/doc/6442980,54,0,0,0.0,0.0
6442873,https://www.kommersant.ru/amp/6442873,49,457,50,10.9,5.9
6442977,https://www.kommersant.ru/amp/6442977,49,512,57,11.1,5.5
6443036,https://www.kommersant.ru/doc/6443036,49,770,72,9.4,5.7
6443056,https://www.kommersant.ru/amp/6443056,45,552,24,4.3,7.8
6426033,https://www.kommersant.ru/doc/6426033,42,0,0,0.0,0.0
6442820,https://www.kommersant.ru/doc/6442820,42,41,6,14.6,10.1
6442938,https://www.kommersant.ru/doc/6442938,41,1558,49,3.1,7.6
6442843,https://www.kommersant.ru/doc/6442843,40,0,0,0.0,0.0
6442979,https://www.kommersant.ru/amp/6442979,39,661,74,11.2,6.8
6443037,https://www.kommersant.ru/doc/6443037,38,680,7,1.0,17.2
6443061,https://www.kommersant.ru/doc/6443061,34,254,13,5.1,5.6
6442816,https://www.kommersant.ru/amp/6442816,32,406,73,18.0,10.6
6443055,https://www.kommersant.ru/doc/6443055,32,889,26,2.9,15.6
6442864,https://www.kommersant.ru/amp/6442864,30,521,34,6.5,8.4
2228111,https://www.kommersant.ru/gallery/2228111,30,0,0,0.0,0.0
6442860,https://www.kommersant.ru/doc/6442860,27,0,0,0.0,0.0
6442964,https://www.kommersant.ru/amp/6442964,26,13,1,7.7,31.2
6443023,https://www.kommersant.ru/amp/6443023,26,774,44,5.7,7.4
6443014,https://www.kommersant.ru/doc/6443014,26,7396,40,0.5,6.2
6443058,https://www.kommersant.ru/doc/6443058,26,0,0,0.0,0.0
6443043,https://www.kommersant.ru/amp/6443043,24,185,12,6.5,11.7
6443059,https://www.kommersant.ru/doc/6443059,24,59,10,16.9,15.5
6442916,https://www.kommersant.ru/amp/6442916,23,256,22,8.6,5.4
6442943,https://www.kommersant.ru/amp/6442943,23,474,39,8.2,8.7
6442986,https://www.kommersant.ru/amp/6442986,21,1019,20,2.0,11.2
6443025,https://www.kommersant.ru/amp/6443025,21,721,8,1.1,14.3
6442683,https://www.kommersant.ru/doc/6442683,21,505,27,5.3,43.3
6442828,https://www.kommersant.ru/amp/6442828,19,371,33,8.9,7.2
6442811,https://www.kommersant.ru/doc/6442811,17,6,2,33.3,3.5
6442929,https://www.kommersant.ru/doc/6442929,17,1,1,100.0,4.0
6442949,https://www.kommersant.ru/doc/6442949,15,0,0,0.0,0.0
6443012,https://www.kommersant.ru/amp/6443012,13,139,9,6.5,10.5
6442936,https://www.kommersant.ru/doc/6442936,13,64,0,0.0,62.9
6443016,https://www.kommersant.ru/doc/6443016,13,0,0,0.0,0.0
6442948,https://www.kommersant.ru/doc/6442948,12,25,1,4.0,13.4
6442865,https://www.kommersant.ru/amp/6442865,11,0,0,0.0,0.0
6442922,https://www.kommersant.ru/amp/6442922,11,80,12,15.0,7.9
6442998,https://www.kommersant.ru/amp/6442998,11,0,0,0.0,0.0
6442962,https://www.kommersant.ru/doc/6442962,11,5,2,40.0,3.4
6442963,https://www.kommersant.ru/doc/6442963,11,21,2,9.5,12.0
6442877,https://www.kommersant.ru/doc/6442877,10,0,0,0.0,0.0
6442967,https://www.kommersant.ru/doc/6442967,10,0,0,0.0,0.0
6442835,https://www.kommersant.ru/amp/6442835,9,2,2,100.0,2.0
6442848,https://www.kommersant.ru/amp/6442848,9,70,11,15.7,6.8
